#{"t_start": 1744909846.082761, "env_id": "None"}
r,l,t
-2601.361195,301,1.400461
-2714.122088,301,2.08817
-2942.509344,301,2.856172
-2812.734156,301,3.662757
-3001.124411,301,4.536865
-2842.614359,301,5.483858
-2792.190287,301,8.021384
-2759.989473,301,9.170078
-2680.248901,301,10.45353
-2702.499884,301,11.741262
-2640.330447,301,13.165755
-2815.152815,301,15.002337
-2793.535343,301,16.610377
-2687.913598,301,19.357177
-2643.925566,301,21.100198
-2636.639189,301,22.855633
-2594.440246,301,24.742229
-2539.123428,301,26.728173
-2629.11557,301,28.910598
-2455.891958,301,31.227886
-2669.251683,301,34.613591
-2788.221553,301,37.450349
-2715.677936,301,40.628784
-2839.470202,301,43.991314
-2836.772175,301,47.417902
-2566.64685,301,51.057486
-2580.808364,301,54.633877
-2708.212979,301,59.695097
-2860.873621,301,63.305669
-2557.749841,301,67.150793
-2788.442982,301,71.632029
-2698.477729,301,75.749237
-2600.120859,301,80.173954
-2674.39285,301,84.46033
